mesh,scroll,window_z,wrap,area_cm2,verdict,median_angle_deg,aligned_lt30,reprova,path
PHerc0800_z14672_w020,PHerc0800,14672,w020,1.78,aprova,7.70,True,False,meshes/PHerc0800/z14672_w020
PHerc0800_z14672_w040,PHerc0800,14672,w040,3.57,,4.20,True,False,meshes/PHerc0800/z14672_w040
PHerc0800_z14672_w060,PHerc0800,14672,w060,5.13,,10.50,True,False,meshes/PHerc0800/z14672_w060
PHerc0800_z14672_w080,PHerc0800,14672,w080,6.88,,5.00,True,False,meshes/PHerc0800/z14672_w080
PHerc0800_z14672_w100,PHerc0800,14672,w100,8.97,,5.30,True,False,meshes/PHerc0800/z14672_w100
PHerc0800_z15264_w020,PHerc0800,15264,w020,1.71,aprova,5.60,True,False,meshes/PHerc0800/z15264_w020
PHerc0800_z15264_w040,PHerc0800,15264,w040,3.51,,4.60,True,False,meshes/PHerc0800/z15264_w040
PHerc0800_z15264_w060,PHerc0800,15264,w060,5.04,,5.50,True,False,meshes/PHerc0800/z15264_w060
PHerc0800_z15264_w080,PHerc0800,15264,w080,6.97,,49.50,False,False,meshes/PHerc0800/z15264_w080
PHerc0800_z15264_w100,PHerc0800,15264,w100,8.93,aprova,18.60,True,False,meshes/PHerc0800/z15264_w100
PHerc0800_z15872_w020,PHerc0800,15872,w020,1.63,parcial,6.00,True,False,meshes/PHerc0800/z15872_w020
PHerc0800_z15872_w040,PHerc0800,15872,w040,3.53,,7.00,True,False,meshes/PHerc0800/z15872_w040
PHerc0800_z15872_w060,PHerc0800,15872,w060,5.33,,8.40,True,False,meshes/PHerc0800/z15872_w060
PHerc0800_z15872_w080,PHerc0800,15872,w080,7.19,,8.00,True,False,meshes/PHerc0800/z15872_w080
PHerc0800_z15872_w100,PHerc0800,15872,w100,9.08,,30.40,False,False,meshes/PHerc0800/z15872_w100
PHerc0800_z16464_w020,PHerc0800,16464,w020,1.58,aprova,4.90,True,False,meshes/PHerc0800/z16464_w020
PHerc0800_z16464_w040,PHerc0800,16464,w040,3.48,,33.40,False,False,meshes/PHerc0800/z16464_w040
PHerc0800_z16464_w060,PHerc0800,16464,w060,5.15,,3.50,True,False,meshes/PHerc0800/z16464_w060
PHerc0800_z16464_w080,PHerc0800,16464,w080,6.72,,4.20,True,False,meshes/PHerc0800/z16464_w080
PHerc0800_z16464_w100,PHerc0800,16464,w100,8.47,,21.10,True,False,meshes/PHerc0800/z16464_w100
PHerc0800_z17072_w020,PHerc0800,17072,w020,1.67,parcial,6.00,True,False,meshes/PHerc0800/z17072_w020
PHerc0800_z17072_w040,PHerc0800,17072,w040,3.26,,6.30,True,False,meshes/PHerc0800/z17072_w040
PHerc0800_z17072_w060,PHerc0800,17072,w060,4.76,,13.20,True,False,meshes/PHerc0800/z17072_w060
PHerc0800_z17072_w080,PHerc0800,17072,w080,6.67,reprova,23.70,True,True,meshes/PHerc0800/z17072_w080
PHerc0800_z17072_w100,PHerc0800,17072,w100,8.25,reprova,13.70,True,True,meshes/PHerc0800/z17072_w100
PHerc0813_z4704_w020,PHerc0813,4704,w020,1.50,reprova,29.10,True,True,meshes/PHerc0813/z4704_w020
PHerc0813_z4704_w040,PHerc0813,4704,w040,4.09,,14.80,True,False,meshes/PHerc0813/z4704_w040
PHerc0813_z4704_w060,PHerc0813,4704,w060,6.25,,57.00,False,False,meshes/PHerc0813/z4704_w060
PHerc0813_z4704_w080,PHerc0813,4704,w080,8.36,,17.10,True,False,meshes/PHerc0813/z4704_w080
PHerc0813_z4704_w100,PHerc0813,4704,w100,9.85,reprova,13.50,True,True,meshes/PHerc0813/z4704_w100
PHerc0813_z5296_w020,PHerc0813,5296,w020,1.41,reprova,21.10,True,True,meshes/PHerc0813/z5296_w020
PHerc0813_z5296_w040,PHerc0813,5296,w040,4.28,,47.30,False,False,meshes/PHerc0813/z5296_w040
PHerc0813_z5296_w060,PHerc0813,5296,w060,6.03,,15.20,True,False,meshes/PHerc0813/z5296_w060
PHerc0813_z5296_w080,PHerc0813,5296,w080,7.58,,4.90,True,False,meshes/PHerc0813/z5296_w080
PHerc0813_z5296_w100,PHerc0813,5296,w100,9.64,,10.40,True,False,meshes/PHerc0813/z5296_w100
PHerc0813_z5888_w020,PHerc0813,5888,w020,2.00,,8.90,True,False,meshes/PHerc0813/z5888_w020
PHerc0813_z5888_w040,PHerc0813,5888,w040,4.24,,10.20,True,False,meshes/PHerc0813/z5888_w040
PHerc0813_z5888_w060,PHerc0813,5888,w060,5.86,,25.00,True,False,meshes/PHerc0813/z5888_w060
PHerc0813_z5888_w080,PHerc0813,5888,w080,7.75,,10.90,True,False,meshes/PHerc0813/z5888_w080
PHerc0813_z5888_w100,PHerc0813,5888,w100,9.94,,6.90,True,False,meshes/PHerc0813/z5888_w100
PHerc0813_z6496_w020,PHerc0813,6496,w020,2.21,aprova,4.30,True,False,meshes/PHerc0813/z6496_w020
PHerc0813_z6496_w040,PHerc0813,6496,w040,4.27,,2.50,True,False,meshes/PHerc0813/z6496_w040
PHerc0813_z6496_w060,PHerc0813,6496,w060,6.02,reprova,4.10,True,True,meshes/PHerc0813/z6496_w060
PHerc0813_z6496_w080,PHerc0813,6496,w080,8.18,,9.00,True,False,meshes/PHerc0813/z6496_w080
PHerc0813_z6496_w100,PHerc0813,6496,w100,10.01,,21.00,True,False,meshes/PHerc0813/z6496_w100
PHerc0813_z7104_w020,PHerc0813,7104,w020,2.27,aprova,4.50,True,False,meshes/PHerc0813/z7104_w020
PHerc0813_z7104_w040,PHerc0813,7104,w040,4.17,,10.80,True,False,meshes/PHerc0813/z7104_w040
PHerc0813_z7104_w060,PHerc0813,7104,w060,5.99,,15.80,True,False,meshes/PHerc0813/z7104_w060
PHerc0813_z7104_w080,PHerc0813,7104,w080,7.73,,4.00,True,False,meshes/PHerc0813/z7104_w080
PHerc0813_z7104_w100,PHerc0813,7104,w100,9.69,,9.00,True,False,meshes/PHerc0813/z7104_w100
PHerc0813_z7696_w020,PHerc0813,7696,w020,1.81,aprova,4.20,True,False,meshes/PHerc0813/z7696_w020
PHerc0813_z7696_w040,PHerc0813,7696,w040,3.69,,11.50,True,False,meshes/PHerc0813/z7696_w040
PHerc0813_z7696_w060,PHerc0813,7696,w060,5.56,,8.40,True,False,meshes/PHerc0813/z7696_w060
PHerc0813_z7696_w080,PHerc0813,7696,w080,7.40,,9.30,True,False,meshes/PHerc0813/z7696_w080
PHerc0813_z7696_w100,PHerc0813,7696,w100,9.29,,7.50,True,False,meshes/PHerc0813/z7696_w100
PHerc0813_z8288_w020,PHerc0813,8288,w020,1.78,aprova,3.20,True,False,meshes/PHerc0813/z8288_w020
PHerc0813_z8288_w040,PHerc0813,8288,w040,3.67,reprova,2.80,True,True,meshes/PHerc0813/z8288_w040
PHerc0813_z8288_w060,PHerc0813,8288,w060,5.57,,19.00,True,False,meshes/PHerc0813/z8288_w060
PHerc0813_z8288_w080,PHerc0813,8288,w080,7.53,,5.90,True,False,meshes/PHerc0813/z8288_w080
PHerc0813_z8288_w100,PHerc0813,8288,w100,9.32,,33.80,False,False,meshes/PHerc0813/z8288_w100
PHerc0813_z9504_w020,PHerc0813,9504,w020,1.48,reprova,18.30,True,True,meshes/PHerc0813/z9504_w020
PHerc0813_z9504_w040,PHerc0813,9504,w040,4.22,,8.70,True,False,meshes/PHerc0813/z9504_w040
PHerc0813_z9504_w060,PHerc0813,9504,w060,6.08,,4.90,True,False,meshes/PHerc0813/z9504_w060
PHerc0813_z9504_w080,PHerc0813,9504,w080,7.93,,12.40,True,False,meshes/PHerc0813/z9504_w080
PHerc0813_z9504_w100,PHerc0813,9504,w100,9.79,,22.60,True,False,meshes/PHerc0813/z9504_w100
PHerc0813_z11296_w020,PHerc0813,11296,w020,1.72,aprova,3.50,True,False,meshes/PHerc0813/z11296_w020
PHerc0813_z11296_w040,PHerc0813,11296,w040,3.71,,11.70,True,False,meshes/PHerc0813/z11296_w040
PHerc0813_z11296_w060,PHerc0813,11296,w060,5.67,,11.10,True,False,meshes/PHerc0813/z11296_w060
PHerc0813_z11296_w080,PHerc0813,11296,w080,7.66,,10.20,True,False,meshes/PHerc0813/z11296_w080
PHerc0813_z11296_w100,PHerc0813,11296,w100,10.15,reprova,20.40,True,True,meshes/PHerc0813/z11296_w100
PHerc0813_z11904_w020,PHerc0813,11904,w020,1.75,aprova,3.40,True,False,meshes/PHerc0813/z11904_w020
PHerc0813_z11904_w040,PHerc0813,11904,w040,3.69,,9.30,True,False,meshes/PHerc0813/z11904_w040
PHerc0813_z11904_w060,PHerc0813,11904,w060,5.92,,13.00,True,False,meshes/PHerc0813/z11904_w060
PHerc0813_z11904_w080,PHerc0813,11904,w080,8.15,reprova,6.60,True,True,meshes/PHerc0813/z11904_w080
PHerc0813_z11904_w100,PHerc0813,11904,w100,9.98,reprova,9.00,True,True,meshes/PHerc0813/z11904_w100
PHerc0813_z12496_w020,PHerc0813,12496,w020,1.73,aprova,8.60,True,False,meshes/PHerc0813/z12496_w020
PHerc0813_z12496_w040,PHerc0813,12496,w040,3.66,,2.60,True,False,meshes/PHerc0813/z12496_w040
PHerc0813_z12496_w060,PHerc0813,12496,w060,5.90,,4.80,True,False,meshes/PHerc0813/z12496_w060
PHerc0813_z12496_w080,PHerc0813,12496,w080,7.87,,8.70,True,False,meshes/PHerc0813/z12496_w080
PHerc0813_z12496_w100,PHerc0813,12496,w100,10.18,reprova,9.80,True,True,meshes/PHerc0813/z12496_w100
PHerc0813_z13088_w020,PHerc0813,13088,w020,1.73,aprova,5.30,True,False,meshes/PHerc0813/z13088_w020
PHerc0813_z13088_w040,PHerc0813,13088,w040,3.45,,2.20,True,False,meshes/PHerc0813/z13088_w040
PHerc0813_z13088_w060,PHerc0813,13088,w060,5.68,,13.60,True,False,meshes/PHerc0813/z13088_w060
PHerc0813_z13088_w080,PHerc0813,13088,w080,7.88,,6.00,True,False,meshes/PHerc0813/z13088_w080
PHerc0813_z13088_w100,PHerc0813,13088,w100,9.93,reprova,3.00,True,True,meshes/PHerc0813/z13088_w100
PHerc0813_z13696_w020,PHerc0813,13696,w020,1.78,aprova,6.40,True,False,meshes/PHerc0813/z13696_w020
PHerc0813_z13696_w040,PHerc0813,13696,w040,3.69,,6.40,True,False,meshes/PHerc0813/z13696_w040
PHerc0813_z13696_w060,PHerc0813,13696,w060,5.78,,7.20,True,False,meshes/PHerc0813/z13696_w060
PHerc0813_z13696_w080,PHerc0813,13696,w080,7.68,,4.90,True,False,meshes/PHerc0813/z13696_w080
PHerc0813_z13696_w100,PHerc0813,13696,w100,9.40,,30.40,False,False,meshes/PHerc0813/z13696_w100
PHerc0813_z14304_w020,PHerc0813,14304,w020,2.02,parcial,9.00,True,False,meshes/PHerc0813/z14304_w020
PHerc0813_z14304_w040,PHerc0813,14304,w040,4.10,,8.80,True,False,meshes/PHerc0813/z14304_w040
PHerc0813_z14304_w060,PHerc0813,14304,w060,5.98,,6.40,True,False,meshes/PHerc0813/z14304_w060
PHerc0813_z14304_w080,PHerc0813,14304,w080,8.06,,5.70,True,False,meshes/PHerc0813/z14304_w080
PHerc0813_z14304_w100,PHerc0813,14304,w100,9.58,aprova,11.40,True,False,meshes/PHerc0813/z14304_w100
PHerc0813_z14896_w020,PHerc0813,14896,w020,1.81,reprova,6.90,True,True,meshes/PHerc0813/z14896_w020
PHerc0813_z14896_w040,PHerc0813,14896,w040,3.83,,4.30,True,False,meshes/PHerc0813/z14896_w040
PHerc0813_z14896_w060,PHerc0813,14896,w060,5.65,,11.80,True,False,meshes/PHerc0813/z14896_w060
PHerc0813_z14896_w080,PHerc0813,14896,w080,7.49,aprova,26.60,True,False,meshes/PHerc0813/z14896_w080
PHerc0813_z14896_w100,PHerc0813,14896,w100,9.29,,18.10,True,False,meshes/PHerc0813/z14896_w100
PHerc0826_z6528_w020,PHerc0826,6528,w020,2.16,,7.90,True,False,meshes/PHerc0826/z6528_w020
PHerc0826_z6528_w040,PHerc0826,6528,w040,4.83,,7.80,True,False,meshes/PHerc0826/z6528_w040
PHerc0826_z6528_w060,PHerc0826,6528,w060,7.14,,5.60,True,False,meshes/PHerc0826/z6528_w060
